ingrl;sexo;edad;escol;lningrl;edad2
566;1;44;6;6.338594;1936
746;1;38;16;6.6147256;1444
120;0;49;9;4.7874918;2401
318;1;28;12;5.7620516;784
373;0;42;12;5.9215784;1764
762;0;38;12;6.6359468;1444
680;1;30;11;6.5220928;900
652;0;33;15;6.4800444;1089
1150;0;59;17;7.0475173;3481
318;1;26;17;5.7620516;676
750;0;41;16;6.6200733;1681
1133;0;35;17;7.0326242;1225
1000;1;39;16;6.9077554;1521
824;0;43;15;6.7141705;1849
400;1;23;18;5.9914646;529
500;1;40;6;6.2146082;1600
150;0;38;15;5.0106354;1444
890;0;31;16;6.7912216;961
536;1;45;6;6.2841344;2025
348;0;21;12;5.8522024;441
0;1;20;9;;400
560;1;29;12;6.3279366;841
400;1;65;9;5.9914646;4225
3700;1;41;11;8.2160883;1681
2700;0;43;9;7.9010072;1849
400;1;37;6;5.9914646;1369
354;0;37;12;5.869297;1369
180;1;39;6;5.1929569;1521
530;1;43;12;6.2728772;1849
130;0;40;9;4.8675346;1600
549;0;43;12;6.3080983;1849
820;1;36;17;6.7093043;1296
600;1;27;16;6.3969297;729
950;0;54;17;6.856462;2916
480;0;29;17;6.1737862;841
500;1;47;17;6.2146082;2209
200;0;43;12;5.2983174;1849
540;1;36;17;6.2915692;1296
700;0;34;17;6.5510802;1156
720;1;26;13;6.5792513;676
415;1;42;6;6.0282784;1764
140;0;42;8;4.9416423;1764
320;1;48;6;5.768321;2304
330;0;37;6;5.7990928;1369
300;1;22;8;5.7037826;484
240;1;19;6;5.480639;361
0;1;17;6;;289
650;1;40;9;6.4769726;1600
290;0;43;12;5.6698809;1849
150;0;68;6;5.0106354;4624
2200;1;51;15;7.6962128;2601
400;1;67;6;5.9914646;4489
210;0;38;12;5.3471074;1444
1360;1;47;18;7.21524;2209
700;0;36;17;6.5510802;1296
770;1;43;16;6.6463904;1849
350;0;44;12;5.857933;1936
400;1;67;6;5.9914646;4489
220;0;67;6;5.3936276;4489
130;1;52;9;4.8675346;2704
110;0;52;6;4.7004805;2704
2500;1;50;18;7.8240461;2500
348;0;48;17;5.8522024;2304
0;0;29;14;;841
735;1;31;12;6.5998707;961
200;0;29;12;5.2983174;841
320;1;74;6;5.768321;5476
430;1;53;6;6.0637851;2809
420;0;46;12;6.0402546;2116
430;1;24;15;6.0637851;576
378;0;28;12;5.9348941;784
300;1;29;17;5.7037826;841
660;0;27;17;6.49224;729
432;1;20;14;6.0684257;400
318;1;24;12;5.7620516;576
260;0;34;12;5.5606818;1156
0;0;22;14;;484
450;1;40;6;6.1092477;1600
450;1;25;6;6.1092477;625
260;1;66;3;5.5606818;4356
166;0;26;6;5.1119876;676
60;1;71;0;4.0943446;5041
0;1;34;17;;1156
360;1;22;6;5.8861041;484
320;0;63;1;5.768321;3969
900;1;27;17;6.8023949;729
350;1;25;14;5.857933;625
350;1;26;6;5.857933;676
350;0;33;12;5.857933;1089
0;1;57;0;;3249
60;0;52;2;4.0943446;2704
150;0;22;12;5.0106354;484
380;1;31;12;5.9401712;961
240;0;70;6;5.480639;4900
378;0;37;12;5.9348941;1369
596;0;35;15;6.3902407;1225
348;1;31;12;5.8522024;961
1567;1;63;18;7.3569183;3969
3200;1;53;19;8.0709057;2809
670;1;36;12;6.5072775;1296
425;0;42;12;6.0520892;1764
670;1;21;12;6.5072775;441
300;1;43;12;5.7037826;1849
486;0;37;12;6.1862087;1369
1180;1;41;12;7.0732698;1681
120;0;51;6;4.7874918;2601
650;1;45;12;6.4769726;2025
607;1;20;12;6.4085288;400
300;1;37;12;5.7037826;1369
490;1;29;12;6.1944056;841
420;0;27;12;6.0402546;729
550;1;30;17;6.3099184;900
0;1;23;12;;529
500;1;26;17;6.2146082;676
200;0;24;14;5.2983174;576
245;0;22;13;5.5012584;484
80;1;80;6;4.3820267;6400
440;0;34;17;6.0867748;1156
330;1;29;12;5.7990928;841
470;1;29;12;6.1527328;841
680;1;43;15;6.5220928;1849
610;0;59;15;6.4134588;3481
400;1;42;17;5.9914646;1764
940;0;43;17;6.84588;1849
318;1;20;9;5.7620516;400
318;0;21;11;5.7620516;441
350;0;53;9;5.857933;2809
240;0;25;17;5.480639;625
240;1;63;6;5.480639;3969
355;0;38;12;5.872118;1444
300;1;32;12;5.7037826;1024
318;1;22;17;5.7620516;484
492;1;32;12;6.1984787;1024
0;0;31;6;;961
300;1;56;6;5.7037826;3136
300;1;72;6;5.7037826;5184
400;1;43;18;5.9914646;1849
800;0;49;12;6.6846118;2401
550;0;27;17;6.3099184;729
300;1;77;9;5.7037826;5929
318;0;37;17;5.7620516;1369
350;1;36;12;5.857933;1296
330;0;28;12;5.7990928;784
318;1;25;12;5.7620516;625
310;1;68;12;5.7365723;4624
280;0;58;6;5.6347895;3364
720;0;29;16;6.5792513;841
550;0;30;16;6.3099184;900
430;1;27;12;6.0637851;729
318;1;34;6;5.7620516;1156
355;1;50;6;5.872118;2500
318;1;21;12;5.7620516;441
340;1;39;6;5.8289456;1521
200;0;37;9;5.2983174;1369
830;1;49;12;6.7214255;2401
100;1;59;7;4.6051702;3481
160;1;25;6;5.0751739;625
600;1;46;12;6.3969297;2116
400;0;37;12;5.9914646;1369
96;0;25;6;4.5643482;625
420;1;42;8;6.0402546;1764
40;0;41;10;3.6888795;1681
30;1;73;4;3.4011974;5329
500;1;67;6;6.2146082;4489
22;1;66;6;3.0910425;4356
356;1;29;6;5.8749309;841
200;0;19;12;5.2983174;361
356;0;27;11;5.8749309;729
130;0;58;4;4.8675346;3364
130;0;34;6;4.8675346;1156
5010;1;38;12;8.5191908;1444
560;0;33;16;6.3279366;1089
376;1;55;6;5.9295893;3025
234;0;51;9;5.4553213;2601
1650;1;47;15;7.4085307;2209
1990;0;44;17;7.59589;1936
2670;1;34;18;7.8898339;1156
1420;0;34;19;7.2584124;1156
10;0;60;12;2.3025851;3600
4590;1;52;20;8.4316349;2704
250;0;47;12;5.521461;2209
190;1;52;14;5.2470241;2704
880;1;58;17;6.779922;3364
2568;1;38;17;7.8508825;1444
517;0;38;15;6.2480431;1444
2690;1;41;16;7.8972964;1681
600;0;37;16;6.3969297;1369
30;0;80;3;3.4011974;6400
20;1;34;8;2.9957323;1156
366;1;38;9;5.9026332;1444
864;0;38;16;6.7615728;1444
90;0;62;6;4.4998097;3844
400;1;34;6;5.9914646;1156
1500;1;69;9;7.3132205;4761
280;0;68;6;5.6347895;4624
0;1;22;12;;484
620;1;54;6;6.4297194;2916
480;1;51;12;6.1737862;2601
50;0;38;6;3.9120231;1444
400;0;59;6;5.9914646;3481
410;0;36;12;6.0161572;1296
410;1;39;12;6.0161572;1521
421;1;55;12;6.0426331;3025
350;0;49;6;5.857933;2401
0;1;33;14;;1089
381;1;32;13;5.9427996;1024
200;0;40;6;5.2983174;1600
320;1;23;9;5.768321;529
360;1;22;8;5.8861041;484
204;0;25;9;5.31812;625
350;1;19;12;5.857933;361
590;1;32;17;6.3801227;1024
620;0;29;17;6.4297194;841
308;1;35;6;5.7300997;1225
700;1;35;6;6.5510802;1225
520;0;28;9;6.253829;784
1000;1;51;14;6.9077554;2601
1370;0;27;17;7.2225661;729
349;1;24;16;5.855072;576
408;1;22;16;6.0112672;484
700;1;24;12;6.5510802;576
390;1;21;12;5.9661469;441
160;0;19;10;5.0751739;361
200;0;48;6;5.2983174;2304
250;1;27;17;5.521461;729
329;0;25;17;5.7960577;625
90;1;83;4;4.4998097;6889
329;0;48;12;5.7960577;2304
308;1;20;12;5.7300997;400
0;1;31;17;;961
659;1;55;10;6.4907236;3025
320;0;25;15;5.768321;625
452;1;30;6;6.1136823;900
120;0;31;10;4.7874918;961
200;1;15;6;5.2983174;225
70;0;50;2;4.2484951;2500
329;1;29;6;5.7960577;841
376;0;25;10;5.9295893;625
200;1;42;6;5.2983174;1764
300;0;42;6;5.7037826;1764
318;1;21;12;5.7620516;441
240;1;18;7;5.480639;324
370;1;23;6;5.9135032;529
60;0;37;8;4.0943446;1369
0;0;73;4;;5329
354;1;39;8;5.869297;1521
350;1;47;12;5.857933;2209
319;0;39;12;5.7651911;1521
300;1;26;7;5.7037826;676
140;1;30;6;4.9416423;900
1360;0;37;17;7.21524;1369
0;0;35;16;;1225
388;0;25;15;5.9610052;625
600;1;35;15;6.3969297;1225
440;0;36;12;6.0867748;1296
660;1;37;11;6.49224;1369
320;1;43;9;5.768321;1849
400;0;40;12;5.9914646;1600
400;0;38;12;5.9914646;1444
320;1;77;2;5.768321;5929
1400;0;52;19;7.2442274;2704
190;0;46;14;5.2470241;2116
218;0;25;6;5.3844953;625
370;0;24;12;5.9135032;576
975;1;40;6;6.8824377;1600
200;0;44;6;5.2983174;1936
220;1;21;10;5.3936276;441
2800;1;33;19;7.9373746;1089
600;0;54;12;6.3969297;2916
55;0;45;6;4.0073333;2025
500;1;42;12;6.2146082;1764
1450;0;41;12;7.2793188;1681
1430;1;41;19;7.2654295;1681
800;1;38;9;6.6846118;1444
0;1;48;12;;2304
195;1;51;7;5.2729998;2601
1100;1;43;19;7.0030656;1849
880;0;43;19;6.779922;1849
375;0;23;12;5.9269261;529
970;0;59;19;6.877296;3481
550;1;30;17;6.3099184;900
0;0;27;19;;729
550;1;29;17;6.3099184;841
200;0;62;5;5.2983174;3844
350;1;43;12;5.857933;1849
600;1;28;15;6.3969297;784
300;1;50;6;5.7037826;2500
318;1;27;12;5.7620516;729
140;0;38;9;4.9416423;1444
5000;1;71;20;8.5171928;5041
2130;0;59;17;7.6638775;3481
420;0;63;6;6.0402546;3969
420;0;44;3;6.0402546;1936
500;0;47;12;6.2146082;2209
577;1;62;12;6.3578424;3844
978;0;57;17;6.8855095;3249
1780;0;32;19;7.4843688;1024
650;1;30;17;6.4769726;900
916;0;29;18;6.8200164;841
363;1;52;6;5.894403;2704
6;0;57;9;1.7917595;3249
369;1;24;12;5.9107966;576
400;1;50;12;5.9914646;2500
459;0;50;18;6.1290503;2500
429;1;28;12;6.0614572;784
432;1;24;14;6.0684257;576
1400;1;45;12;7.2442274;2025
860;0;38;14;6.7569323;1444
330;1;28;12;5.7990928;784
300;0;28;13;5.7037826;784
400;1;56;6;5.9914646;3136
0;1;24;12;;576
0;1;23;12;;529
0;1;19;12;;361
590;1;28;11;6.3801227;784
250;0;21;12;5.521461;441
530;1;41;10;6.2728772;1681
640;0;41;11;6.4614682;1681
318;0;23;17;5.7620516;529
30;0;73;6;3.4011974;5329
300;1;30;18;5.7037826;900
565;0;27;19;6.3368258;729
540;1;54;16;6.2915692;2916
166;0;50;12;5.1119876;2500
100;0;42;6;4.6051702;1764
300;1;58;8;5.7037826;3364
1400;1;33;18;7.2442274;1089
430;0;33;16;6.0637851;1089
438;0;48;9;6.0822191;2304
400;1;50;12;5.9914646;2500
318;1;55;12;5.7620516;3025
318;0;36;14;5.7620516;1296
720;1;54;6;6.5792513;2916
1400;1;50;17;7.2442274;2500
500;0;50;12;6.2146082;2500
1000;1;45;11;6.9077554;2025
900;1;43;17;6.8023949;1849
700;1;48;12;6.5510802;2304
150;0;71;9;5.0106354;5041
630;0;36;16;6.4457197;1296
730;0;33;18;6.5930448;1089
450;1;48;9;6.1092477;2304
130;0;46;6;4.8675346;2116
450;1;28;12;6.1092477;784
400;1;22;9;5.9914646;484
600;0;72;6;6.3969297;5184
550;0;50;15;6.3099184;2500
200;1;45;16;5.2983174;2025
600;1;42;17;6.3969297;1764
600;0;53;17;6.3969297;2809
370;1;28;17;5.9135032;784
1500;1;60;18;7.3132205;3600
1100;1;27;17;7.0030656;729
2140;1;35;19;7.668561;1225
1620;0;29;18;7.3901815;841
150;0;53;6;5.0106354;2809
60;1;18;9;4.0943446;324
638;0;40;17;6.4583383;1600
1300;1;42;17;7.1701198;1764
1540;0;37;17;7.3395376;1369
1900;1;43;18;7.5496092;1849
1400;0;41;18;7.2442274;1681
516;1;33;6;6.2461066;1089
150;1;62;6;5.0106354;3844
780;1;35;12;6.6592941;1225
170;0;40;8;5.1357985;1600
820;1;37;6;6.7093043;1369
410;0;39;9;6.0161572;1521
185;0;22;13;5.220356;484
270;1;67;2;5.5984221;4489
330;1;27;12;5.7990928;729
330;1;25;12;5.7990928;625
330;1;23;9;5.7990928;529
777;0;38;17;6.6554403;1444
331;0;26;15;5.8021183;676
550;1;31;12;6.3099184;961
150;0;26;12;5.0106354;676
720;1;24;7;6.5792513;576
530;1;35;6;6.2728772;1225
629;1;42;16;6.4441314;1764
350;0;30;6;5.857933;900
360;1;21;9;5.8861041;441
195;1;62;4;5.2729998;3844
360;0;34;9;5.8861041;1156
160;0;32;9;5.0751739;1024
358;1;31;15;5.8805332;961
200;0;33;6;5.2983174;1089
240;1;70;4;5.480639;4900
540;1;51;6;6.2915692;2601
266;0;50;6;5.5834961;2500
1132;1;41;12;7.0317411;1681
416;1;25;12;6.0306854;625
486;0;23;12;6.1862087;529
1001;1;35;17;6.9087548;1225
381;0;34;13;5.9427996;1156
655;1;40;16;6.4846354;1600
774;1;32;17;6.6515718;1024
1808;1;57;18;7.4999766;3249
773;0;55;12;6.650279;3025
380;1;34;6;5.9401712;1156
290;1;59;3;5.6698809;3481
910;0;56;2;6.8134446;3136
540;1;34;12;6.2915692;1156
620;1;32;12;6.4297194;1024
220;0;50;12;5.3936276;2500
650;0;40;17;6.4769726;1600
450;1;53;18;6.1092477;2809
820;1;35;9;6.7093043;1225
1400;1;54;6;7.2442274;2916
350;0;48;19;5.857933;2304
1000;1;55;19;6.9077554;3025
900;1;50;13;6.8023949;2500
400;1;38;15;5.9914646;1444
320;1;34;6;5.768321;1156
550;1;59;12;6.3099184;3481
668;1;39;12;6.5042882;1521
625;1;27;17;6.4377518;729
760;1;37;16;6.6333184;1369
500;0;37;12;6.2146082;1369
0;1;64;18;;4096
375;0;40;12;5.9269261;1600
150;1;23;13;5.0106354;529
360;0;78;6;5.8861041;6084
1098;0;54;16;7.0012455;2916
505;0;41;12;6.2245584;1681
763;0;44;17;6.6372581;1936
448;1;70;6;6.1047931;4900
0;1;28;14;;784
200;1;26;14;5.2983174;676
610;1;41;8;6.4134588;1681
320;0;39;9;5.768321;1521
380;1;20;9;5.9401712;400
380;0;22;12;5.9401712;484
300;1;37;6;5.7037826;1369
650;0;28;12;6.4769726;784
443;1;31;15;6.0935698;961
533;0;23;16;6.2785215;529
390;0;55;12;5.9661469;3025
800;1;43;12;6.6846118;1849
502;1;28;13;6.2186003;784
0;0;50;12;;2500
500;1;39;6;6.2146082;1521
0;1;40;12;;1600
30;0;43;6;3.4011974;1849
500;0;46;12;6.2146082;2116
160;0;59;6;5.0751739;3481
191;0;34;15;5.2522736;1156
25;0;72;0;3.2188759;5184
600;1;37;6;6.3969297;1369
400;0;38;6;5.9914646;1444
391;1;60;12;5.9687076;3600
360;0;51;12;5.8861041;2601
240;0;25;15;5.480639;625
433;1;25;12;6.0707378;625
382;0;22;9;5.9454207;484
545;1;38;17;6.300786;1444
340;0;42;12;5.8289456;1764
200;0;35;12;5.2983174;1225
250;0;19;13;5.521461;361
1216;0;32;17;7.103322;1024
351;0;27;16;5.8607864;729
635;1;29;9;6.4536252;841
3075;1;37;17;8.0310602;1369
599;0;33;12;6.3952618;1089
360;1;40;8;5.8861041;1600
505;0;38;12;6.2245584;1444
1190;1;35;12;7.0817084;1225
280;0;37;17;5.6347895;1369
1700;1;50;17;7.4383836;2500
150;0;45;17;5.0106354;2025
1700;1;47;17;7.4383836;2209
800;1;52;9;6.6846118;2704
460;1;25;12;6.1312265;625
160;0;45;9;5.0751739;2025
200;1;21;7;5.2983174;441
320;1;24;9;5.768321;576
400;1;50;10;5.9914646;2500
550;1;35;14;6.3099184;1225
542;0;33;12;6.2952662;1089
400;0;45;14;5.9914646;2025
280;1;23;13;5.6347895;529
0;0;21;14;;441
435;1;25;14;6.075346;625
360;1;21;8;5.8861041;441
200;1;16;8;5.2983174;256
400;1;37;6;5.9914646;1369
180;0;35;4;5.1929569;1225
360;1;28;6;5.8861041;784
348;0;31;12;5.8522024;961
150;0;37;9;5.0106354;1369
545;0;46;14;6.300786;2116
400;1;65;12;5.9914646;4225
240;1;25;9;5.480639;625
200;0;55;1;5.2983174;3025
300;1;42;12;5.7037826;1764
350;0;41;6;5.857933;1681
160;0;43;12;5.0751739;1849
560;1;25;12;6.3279366;625
350;1;64;4;5.857933;4096
750;1;31;17;6.6200733;961
318;0;34;15;5.7620516;1156
843;1;53;16;6.7369671;2809
105;0;41;14;4.6539602;1681
40;1;17;11;3.6888795;289
40;1;15;10;3.6888795;225
535;1;50;11;6.2822666;2500
280;1;17;10;5.6347895;289
270;0;35;6;5.5984221;1225
200;1;67;6;5.2983174;4489
486;1;62;8;6.1862087;3844
472;1;25;17;6.1569791;625
777;0;41;17;6.6554403;1681
654;0;37;17;6.4831076;1369
150;0;52;12;5.0106354;2704
760;0;55;12;6.6333184;3025
330;1;39;12;5.7990928;1521
330;1;18;12;5.7990928;324
620;0;32;12;6.4297194;1024
270;0;52;12;5.5984221;2704
483;1;39;12;6.1800165;1521
345;0;34;17;5.8435445;1156
631;1;66;13;6.4473057;4356
500;1;42;12;6.2146082;1764
424;1;50;12;6.0497336;2500
406;0;54;12;6.0063534;2916
601;0;35;17;6.3985949;1225
710;0;33;17;6.5652652;1089
1225;0;32;17;7.1106963;1024
390;1;25;14;5.9661469;625
248;0;37;9;5.5134287;1369
950;0;42;17;6.856462;1764
592;1;51;12;6.3835068;2601
490;1;26;14;6.1944056;676
348;1;26;6;5.8522024;676
0;0;32;12;;1024
1700;1;50;18;7.4383836;2500
150;0;46;18;5.0106354;2116
1350;0;31;17;7.20786;961
1350;1;32;17;7.20786;1024
348;1;24;11;5.8522024;576
455;0;28;6;6.1202974;784
250;0;45;10;5.521461;2025
300;0;25;11;5.7037826;625
415;1;20;11;6.0282784;400
432;1;20;12;6.0684257;400
432;1;21;9;6.0684257;441
628;1;47;12;6.4425402;2209
435;0;28;17;6.075346;784
480;1;44;6;6.1737862;1936
474;0;40;11;6.1612072;1600
930;1;42;12;6.8351846;1764
551;0;41;12;6.3117347;1681
1571;0;55;16;7.3594675;3025
542;1;33;17;6.2952662;1089
348;0;24;17;5.8522024;576
280;0;36;12;5.6347895;1296
1172;0;55;17;7.0664668;3025
700;0;24;17;6.5510802;576
521;1;30;12;6.2557502;900
599;1;32;8;6.3952618;1024
360;1;49;15;5.8861041;2401
486;0;32;17;6.1862087;1024
361;1;33;12;5.8888779;1089
490;0;31;17;6.1944056;961
1040;1;34;17;6.9469762;1156
215;0;52;17;5.3706379;2704
330;1;26;17;5.7990928;676
600;1;53;6;6.3969297;2809
210;0;55;6;5.3471074;3025
371;0;24;17;5.9162021;576
1484;1;56;19;7.3024964;3136
438;1;34;17;6.0822191;1156
981;1;50;17;6.8885727;2500
672;1;44;12;6.5102582;1936
482;0;30;12;6.1779442;900
972;1;32;17;6.8793559;1024
400;0;63;12;5.9914646;3969
300;1;32;17;5.7037826;1024
353;0;39;12;5.866468;1521
339;1;52;12;5.8260002;2704
70;0;49;6;4.2484951;2401
0;0;20;13;;400
350;0;46;12;5.857933;2116
600;1;40;12;6.3969297;1600
500;0;33;17;6.2146082;1089
2180;1;43;17;7.6870804;1849
0;0;48;19;;2304
980;1;24;17;6.8875527;576
329;1;24;16;5.7960577;576
1220;1;50;12;7.106606;2500
150;0;53;17;5.0106354;2809
477;0;23;12;6.1675167;529
400;1;48;9;5.9914646;2304
1160;0;56;16;7.0561752;3136
2200;0;44;19;7.6962128;1936
1270;0;25;16;7.1467724;625
1390;0;64;16;7.2370591;4096
800;0;40;12;6.6846118;1600
982;0;54;17;6.8895912;2916
500;1;34;16;6.2146082;1156
1000;0;35;16;6.9077554;1225
300;1;47;15;5.7037826;2209
280;0;47;12;5.6347895;2209
130;1;55;16;4.8675346;3025
330;0;60;12;5.7990928;3600
570;1;46;6;6.3456364;2116
120;0;24;12;4.7874918;576
635;1;53;6;6.4536252;2809
799;0;50;16;6.6833611;2500
1621;1;45;17;7.3907986;2025
2030;0;29;17;7.6157908;841
570;0;44;7;6.3456364;1936
130;1;18;12;4.8675346;324
460;0;65;9;6.1312265;4225
500;1;53;18;6.2146082;2809
970;0;49;18;6.877296;2401
1020;0;50;18;6.9275579;2500
400;1;43;13;5.9914646;1849
310;0;24;9;5.7365723;576
400;1;54;16;5.9914646;2916
1020;1;30;17;6.9275579;900
535;1;23;18;6.2822666;529
535;1;22;18;6.2822666;484
831;0;44;16;6.72263;1936
1270;1;44;18;7.1467724;1936
500;1;24;18;6.2146082;576
500;1;23;18;6.2146082;529
250;1;50;12;5.521461;2500
1500;1;53;18;7.3132205;2809
950;0;52;12;6.856462;2704
680;0;24;16;6.5220928;576
1330;0;36;20;7.192934;1296
780;0;27;20;6.6592941;729
1000;1;50;6;6.9077554;2500
1020;0;34;18;6.9275579;1156
400;0;35;18;5.9914646;1225
500;1;35;18;6.2146082;1225
740;0;35;17;6.6066504;1225
700;1;35;16;6.5510802;1225
200;0;30;14;5.2983174;900
800;1;60;18;6.6846118;3600
920;0;23;18;6.8243737;529
1320;1;41;17;7.1853871;1681
733;0;45;18;6.5971456;2025
720;0;39;18;6.5792513;1521
1200;1;36;18;7.0900769;1296
1000;0;44;18;6.9077554;1936
450;0;61;15;6.1092477;3721
820;0;28;18;6.7093043;784
660;0;26;18;6.49224;676
400;0;40;12;5.9914646;1600
1240;1;58;18;7.1228666;3364
672;0;57;17;6.5102582;3249
1060;0;26;18;6.9660244;676
547;0;51;6;6.3044486;2601
480;1;28;15;6.1737862;784
510;0;26;14;6.2344108;676
800;1;42;15;6.6846118;1764
2035;1;53;20;7.6182513;2809
416;1;29;9;6.0306854;841
1000;1;36;15;6.9077554;1296
660;0;34;16;6.49224;1156
1450;0;40;17;7.2793188;1600
3950;1;58;17;8.2814713;3364
4000;1;62;19;8.2940493;3844
352;1;31;12;5.8636312;961
210;0;30;14;5.3471074;900
780;1;30;12;6.6592941;900
0;0;21;12;;441
495;1;25;6;6.2045579;625
397;0;42;17;5.9839363;1764
300;0;49;12;5.7037826;2401
330;0;21;15;5.7990928;441
690;1;37;16;6.5366917;1369
440;0;34;16;6.0867748;1156
430;1;57;8;6.0637851;3249
670;1;29;13;6.5072775;841
1000;0;26;17;6.9077554;676
5600;1;63;20;8.6305218;3969
2100;0;60;19;7.6496925;3600
1320;1;36;17;7.1853871;1296
300;0;25;17;5.7037826;625
580;0;54;3;6.363028;2916
1330;0;38;17;7.192934;1444
360;1;42;6;5.8861041;1764
430;0;40;6;6.0637851;1600
240;1;18;6;5.480639;324
400;0;60;6;5.9914646;3600
300;0;24;17;5.7037826;576
300;1;24;17;5.7037826;576
230;1;52;12;5.4380794;2704
320;0;33;6;5.768321;1089
416;1;28;12;6.0306854;784
660;1;51;9;6.49224;2601
440;0;25;16;6.0867748;625
790;1;33;16;6.6720328;1089
250;0;50;11;5.521461;2500
1110;0;64;17;7.0121155;4096
830;0;31;17;6.7214255;961
500;1;46;15;6.2146082;2116
480;1;35;6;6.1737862;1225
200;0;25;8;5.2983174;625
380;1;31;9;5.9401712;961
200;0;35;9;5.2983174;1225
400;1;28;17;5.9914646;784
350;0;27;16;5.857933;729
500;1;36;6;6.2146082;1296
340;1;32;12;5.8289456;1024
410;0;30;15;6.0161572;900
420;1;28;6;6.0402546;784
1200;1;35;14;7.0900769;1225
700;0;37;17;6.5510802;1369
410;1;53;12;6.0161572;2809
400;1;30;10;5.9914646;900
300;1;27;9;5.7037826;729
0;1;25;8;;625
402;1;32;6;5.9964519;1024
300;1;32;6;5.7037826;1024
150;1;19;12;5.0106354;361
300;0;43;8;5.7037826;1849
300;0;39;12;5.7037826;1521
600;0;40;17;6.3969297;1600
240;1;68;6;5.480639;4624
510;0;35;16;6.2344108;1225
318;1;42;6;5.7620516;1764
850;0;26;17;6.7452364;676
430;1;35;17;6.0637851;1225
450;1;34;15;6.1092477;1156
318;0;34;12;5.7620516;1156
300;1;62;15;5.7037826;3844
870;1;29;17;6.7684932;841
250;0;47;3;5.521461;2209
700;1;24;10;6.5510802;576
318;1;21;8;5.7620516;441
250;0;49;9;5.521461;2401
220;0;24;17;5.3936276;576
408;1;52;17;6.0112672;2704
1000;0;38;12;6.9077554;1444
310;1;17;6;5.7365723;289
600;1;27;17;6.3969297;729
586;1;60;12;6.3733196;3600
230;0;51;12;5.4380794;2601
300;1;55;19;5.7037826;3025
2670;1;50;12;7.8898339;2500
815;1;44;16;6.7031879;1936
330;0;42;9;5.7990928;1764
5230;1;50;20;8.5621662;2500
656;0;41;12;6.4861608;1681
1500;1;45;12;7.3132205;2025
517;0;42;12;6.2480431;1764
1040;1;28;12;6.9469762;784
1040;0;29;15;6.9469762;841
500;1;47;6;6.2146082;2209
540;0;35;6;6.2915692;1225
480;1;29;9;6.1737862;841
816;1;49;17;6.7044144;2401
816;0;45;16;6.7044144;2025
500;1;38;6;6.2146082;1444
600;1;65;6;6.3969297;4225
250;0;58;6;5.521461;3364
2050;0;43;12;7.6255951;1849
546;1;28;16;6.302619;784
309;0;32;12;5.7333412;1024
815;0;52;16;6.7031879;2704
